one_enum_param	orig_enum	tidied_enum	orig_matched_dist	matched_pref_dist	matched_text	matchType	id	prefLabel
build_occup_type_enum	airport	airport	0.000	0.000	AIRPORT	PREF	http://www.icn.ch/icnp#Airport	Airport
build_occup_type_enum	commercial	commercial	0.000	0.088	COMMERCIAL	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96109	Commercial Lot
build_occup_type_enum	health care	health care	0.000	0.000	HEALTH CARE	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#C0086388	health care
build_occup_type_enum	high rise	high rise	0.207	0.000	HIGH	PREF	http://purl.obolibrary.org/obo/NCIT_C25227	High
build_occup_type_enum	low rise	low rise	0.388	0.742	LOW	SYN	http://purl.jp/bio/11/meo/MEO_0001301	short
build_occup_type_enum	market	market	0.000	0.000	MARKET	PREF	http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0028	market
build_occup_type_enum	office	office	0.000	0.000	OFFICE	PREF	http://purl.bioontology.org/ontology/RCD/X79rq	Office
build_occup_type_enum	residence	residence	0.000	0.000	RESIDENCE	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#23771	residence
build_occup_type_enum	residential	residential	0.000	0.000	RESIDENTIAL	PREF	http://purl.bioontology.org/ontology/LNC/LA30092-3	Residential
build_occup_type_enum	restaurant	restaurant	0.000	0.025	RESTAURANT	SYN	http://id.nlm.nih.gov/mesh/D012147	Restaurants
build_occup_type_enum	school	school	0.000	0.041	SCHOOL	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#11099	schools
build_occup_type_enum	sports complex	sports complex	0.209	0.000	SPORTS	PREF	http://purl.bioontology.org/ontology/PMR.owl#Sports	Sports
build_occup_type_enum	wood framed	wood framed	0.262	0.745	WOOD	SYN	http://purl.obolibrary.org/obo/ENVO_00000111	forested area
building_setting_enum	exurban	exurban						
building_setting_enum	rural	rural	0.000	0.000	RURAL	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#C0240919	rural
building_setting_enum	suburban	suburban	0.000	0.000	SUBURBAN	PREF	http://purl.jp/bio/11/meo/MEO_0001433	suburban
building_setting_enum	urban	urban	0.000	0.000	URBAN	PREF	http://www.owl-ontologies.com/unnamed.owl#Urban	Urban
ceil_cond_enum	damaged	damaged	0.000	0.000	DAMAGED	PREF	http://purl.org/obo/owl/PATO#PATO_0001167	damaged
ceil_cond_enum	needs repair	needs repair	0.239	0.000	NEEDS	PREF	http://doe-generated-ontology.com/OntoAD#C0027552	Needs
ceil_cond_enum	new	new	0.000	0.000	NEW	PREF	http://www.limics.fr/ontologies/menelastop/new	new
ceil_cond_enum	rupture	rupture	0.000	0.000	RUPTURE	PREF	http://purl.bioontology.org/ontology/LNC/LA7470-3	Rupture
ceil_cond_enum	visible wear	visible wear	0.167	0.000	VISIBLE	PREF	http://purl.obolibrary.org/obo/FBcv_0000354	visible
ceil_finish_mat_enum	drywall	drywall						
ceil_finish_mat_enum	fiberglass	fiberglass	0.000	0.000	FIBERGLASS	PREF	http://phenomebrowser.net/ontologies/mesh/mesh.owl#C009753	fiberglass
ceil_finish_mat_enum	metal	metal	0.000	0.000	METAL	PREF	http://www.semanticweb.org/dellvostro3750/ontologies/2018/2/untitled-ontology-10#metal	metal
ceil_finish_mat_enum	mineral fibre	mineral fibre	0.133	0.065	MINERAL	SYN	http://purl.bioontology.org/ontology/MESH/D008903	Minerals
ceil_finish_mat_enum	mineral wool/calcium silicate	mineral wool/calcium silicate	0.181	0.428	MINERAL WOOL	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44440	Respirable Ceramic Fiber
ceil_finish_mat_enum	plasterboard	plasterboard						
ceil_finish_mat_enum	PVC	PVC	0.000	0.684	PVC	SYN	http://purl.bioontology.org/ontology/SNOMEDCT/35233000	Polyvinyl chloride
ceil_finish_mat_enum	stucco	stucco	0.000	0.733	STUCCO	SYN	http://purl.obolibrary.org/obo/ENVO_01000476	plaster
ceil_finish_mat_enum	tiles	tiles						
ceil_finish_mat_enum	wood	wood	0.000	0.745	WOOD	SYN	http://purl.obolibrary.org/obo/ENVO_00000111	forested area
ceil_texture_enum	crows feet	crows feet	0.355	0.000	CROWS	PREF	http://phenomebrowser.net/ontologies/mesh/mesh.owl#B01.050.150.900.248.620.750.150	Crows
ceil_texture_enum	crows-foot stomp	crows foot stomp	0.288	0.000	CROWS	PREF	http://phenomebrowser.net/ontologies/mesh/mesh.owl#B01.050.150.900.248.620.750.150	Crows
ceil_texture_enum	double skip	double skip	0.261	0.000	DOUBLE	PREF	http://sweetontology.net/reprMathOperation/Double	double
ceil_texture_enum	hawk and trowel	hawk and trowel	0.345	0.106	HAWK	SYN	http://purl.bioontology.org/ontology/MESH/D046428	Hawks
ceil_texture_enum	knockdown	knockdown						
ceil_texture_enum	orange peel	orange peel	0.000	0.000	ORANGE PEEL	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#C0319824	orange peel
ceil_texture_enum	popcorn	popcorn	0.000	0.000	POPCORN	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#C0452681	popcorn
ceil_texture_enum	rosebud stomp	rosebud stomp	0.241	0.612	STOMP	SYN	http://purl.obolibrary.org/obo/SOY_0001712	Pendimethalin Sensitivity
ceil_texture_enum	Santa-Fe texture	Santa Fe texture	0.192	0.000	SANTA FE	PREF	http://purl.obolibrary.org/obo/GAZ_00008221	Santa Fe
ceil_texture_enum	skip trowel	skip trowel	0.397	0.293	SKIP	SYN	http://identifiers.org/ncbigene/51763	INPP5K
ceil_texture_enum	smooth	smooth	0.000	0.811	SMOOTH	SYN	http://purl.obolibrary.org/obo/PATO_0001975	unserrated
ceil_texture_enum	stomp knockdown	stomp knockdown	0.374	0.612	STOMP	SYN	http://purl.obolibrary.org/obo/SOY_0001712	Pendimethalin Sensitivity
ceil_texture_enum	swirl	swirl	0.000	0.000	SWIRL	PREF	http://www.owl-ontologies.com/Ontology1184060740.owl#Class_21	swirl
ceil_type_enum	barrel-shaped	barrel shaped	0.053	0.189	BARREL SHAPED	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74937	Barrel
ceil_type_enum	cathedral	cathedral	0.000	0.000	CATHEDRAL	PREF	http://www.limics.fr/ontologies/ontopsychiasoc#Cathedrale	cathedral
ceil_type_enum	coffered	coffered						
ceil_type_enum	concave	concave	0.000	0.000	CONCAVE	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#37885	concave
ceil_type_enum	cove	cove	0.000	0.000	COVE	PREF	http://purl.obolibrary.org/obo/ENVO_00000138	cove
ceil_type_enum	dropped	dropped	0.000	0.095	DROPPED	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48930	Drop
ceil_type_enum	stretched	stretched	0.000	0.144	STRETCHED	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62835	Material Stretched
compl_appr_enum	marker gene	marker gene	0.000	0.000	MARKER GENE	PREF	http://purl.jp/bio/4/id/200906053705418945	marker gene
compl_appr_enum	other	other						
compl_appr_enum	reference based	reference based	0.074	0.000	REFERENCE	PREF	http://www.flyglycodb.org/ontologies/2015/Reference	Reference
compl_score_enum	high	high	0.000	0.000	HIGH	PREF	http://purl.obolibrary.org/obo/NCIT_C25227	High
compl_score_enum	low;{percentage}	low {percentage}	0.631	0.742	LOW	SYN	http://purl.jp/bio/11/meo/MEO_0001301	short
compl_score_enum	med	med	0.000	0.605	MED	SYN	http://purl.obolibrary.org/obo/MONDO_0016648	multiple epiphyseal dysplasia (disease)
contam_screen_param_enum	combination;{text	combination {text	0.144	0.228	COMBINATION	SYN	http://purl.bioontology.org/ontology/SNOMEDCT/89780004	Combined
contam_screen_param_enum	coverage	coverage	0.000	0.000	COVERAGE	PREF	http://www.semanticweb.org/vanessa/ontologies/2012/7/untitled-ontology-33#Coverage	Coverage
contam_screen_param_enum	integer}	integer}	0.051	0.000	INTEGER	PREF	http://purl.bioontology.org/ontology/npo#NPO_1986	integer
contam_screen_param_enum	kmer	kmer						
contam_screen_param_enum	ref db	ref db	0.293	0.293	REF	SYN	http://purl.obolibrary.org/obo/OGG_3000010189	ALYREF
cur_land_use_enum	badlands	badlands	0.000	0.000	BADLANDS	PREF	http://anzsoil.org/def/au/asls/landform/landform-pattern-BAD	Badlands
cur_land_use_enum	cities	cities	0.000	0.000	CITIES	PREF	http://purl.bioontology.org/ontology/MESH/D002947	Cities
cur_land_use_enum	conifers (e.g. pine,spruce,fir,cypress)	conifers (e g pine spruce fir cypress)	0.209	0.667	CONIFERS	SYN	http://id.nlm.nih.gov/mesh/D064028	Tracheophyta
cur_land_use_enum	crop trees (nuts,fruit,christmas trees,nursery trees)	crop trees (nuts fruit christmas trees nursery trees)	0.623	1.000	CROP	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#3469	3469
cur_land_use_enum	farmstead	farmstead	0.000	0.246	FARMSTEAD	SYN	http://purl.obolibrary.org/obo/ENVO_00000078	farm
cur_land_use_enum	gravel	gravel	0.000	0.000	GRAVEL	PREF	http://purl.obolibrary.org/obo/ENVO_01000018	gravel
cur_land_use_enum	hardwoods (e.g. oak,hickory,elm,aspen)	hardwoods (e g oak hickory elm aspen)	0.426	1.000	OAK	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#28961	quercus
cur_land_use_enum	hayland	hayland						
cur_land_use_enum	horticultural plants (e.g. tulips)	horticultural plants (e g tulips)	0.324	0.000	PLANTS	PREF	http://www.semanticweb.org/alba/ontologies/2020/10/NIO#Plants	Plants
cur_land_use_enum	industrial areas	industrial areas	0.127	0.184	INDUSTRIAL	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25181	Industry
cur_land_use_enum	intermixed hardwood and conifers	intermixed hardwood and conifers	0.331	0.039	HARDWOOD	SYN	http://purl.jp/bio/4/id/201506008258337820	hard wood
cur_land_use_enum	marshlands (grass,sedges,rushes)	marshlands (grass sedges rushes)	0.150	0.000	GRASS	PREF	http://cerrado.linkeddata.es/ecology/ccon#Grass	grass
cur_land_use_enum	meadows (grasses,alfalfa,fescue,bromegrass,timothy)	meadows (grasses alfalfa fescue bromegrass timothy)	0.277	0.476	MEADOWS	SYN	http://id.nlm.nih.gov/mesh/D065948	Grassland
cur_land_use_enum	mines/quarries	mines/quarries	0.237	0.293	MINES	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#8162	mining
cur_land_use_enum	mudflats	mudflats	0.000	0.000	MUDFLATS	PREF	http://purl.bioontology.org/ontology/RCD/Xa2zI	Mudflats
cur_land_use_enum	oil waste areas	oil waste areas	0.667	0.000	OIL	PREF	http://www.icn.ch/icnp#Oil	Oil
cur_land_use_enum	pastureland (grasslands used for livestock grazing)	pastureland (grasslands used for livestock grazing)	0.215	0.000	PASTURELAND	PREF	http://purl.jp/bio/4/id/200906023280672030	pastureland
cur_land_use_enum	permanent snow or ice	permanent snow or ice	0.239	1.000	PERMANENT	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#20524	20524
cur_land_use_enum	rainforest (evergreen forest receiving >406 cm annual rainfall)	rainforest (evergreen forest receiving >406 cm annual rainfall)	0.219	0.000	RAINFOREST	PREF	http://purl.jp/bio/4/id/201506088722259171	Rainforest
cur_land_use_enum	rangeland	rangeland						
cur_land_use_enum	roads/railroads	roads/railroads	0.066	0.331	ROADS	SYN	http://purl.jp/bio/4/subject/AC17_cat	Terms related to Roads
cur_land_use_enum	rock	rock	0.000	0.000	ROCK	PREF	http://purl.obolibrary.org/obo/ENVO_00001995	rock
cur_land_use_enum	row crops	row crops	0.199	0.000	ROW	PREF	http://purl.obolibrary.org/obo/AEO_0000210	row
cur_land_use_enum	saline seeps	saline seeps	0.167	0.000	SALINE	PREF	http://purl.bioontology.org/ontology/LNC/LP207658-8	Saline
cur_land_use_enum	salt flats	salt flats	0.057	0.000	SALT	PREF	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C822	Salt
cur_land_use_enum	sand	sand	0.000	0.000	SAND	PREF	http://purl.jp/bio/4/id/200906083527453983	sand
cur_land_use_enum	shrub crops (blueberries,nursery ornamentals,filberts)	shrub crops (blueberries nursery ornamentals filberts)	0.331	0.876	SHRUB	SYN	http://purl.obolibrary.org/obo/PO_0000003	whole plant
cur_land_use_enum	shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)	shrub land (e g mesquite sage brush creosote bush shrub oak eucalyptus)	0.316	0.876	SHRUB	SYN	http://purl.obolibrary.org/obo/PO_0000003	whole plant
cur_land_use_enum	small grains	small grains	0.198	0.000	SMALL	PREF	http://purl.bioontology.org/ontology/RCD/X7919	Small
cur_land_use_enum	successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)	successional shrub land (tree saplings hazels sumacs chokecherry shrub dogwoods blackberries)	0.378	0.876	SHRUB	SYN	http://purl.obolibrary.org/obo/PO_0000003	whole plant
cur_land_use_enum	swamp (permanent or semi-permanent water body dominated by woody plants)	swamp (permanent or semi permanent water body dominated by woody plants)	0.508	0.000	SWAMP	PREF	http://purl.jp/bio/11/meo/MEO_0001235	swamp
cur_land_use_enum	tropical (e.g. mangrove,palms)	tropical (e g mangrove palms)	0.326	0.000	TROPICAL	PREF	http://www.owl-ontologies.com/BiodiversityOntologyFull.owl#Tropical	Tropical
cur_land_use_enum	tundra (mosses,lichens)	tundra (mosses lichens)	0.542	0.000	TUNDRA	PREF	http://purl.bioontology.org/ontology/MESH/D065929	Tundra
cur_land_use_enum	vegetable crops	vegetable crops	0.000	0.000	VEGETABLE CROPS	PREF	http://localhost/plosthes.2017-1#1540501	Vegetable crops
cur_land_use_enum	vine crops (grapes)	vine crops (grapes)	0.536	0.723	VINE	SYN	http://purl.obolibrary.org/obo/PO_0000003	whole plant
decontam_software_enum	acdc	acdc	0.000	0.667	ACDC	SYN	http://purl.obolibrary.org/obo/OGG_3000009370	ADIPOQ
decontam_software_enum	anvi'o	anvi'o						
decontam_software_enum	bbtools:decontaminate.sh	bbtools:decontaminate sh	0.196	0.068	DECONTAMINATE	SYN	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68769	Decontamination
decontam_software_enum	checkm/refinem	checkm/refinem						
decontam_software_enum	combination	combination	0.000	0.228	COMBINATION	SYN	http://purl.bioontology.org/ontology/SNOMEDCT/89780004	Combined
decontam_software_enum	prodege	prodege						
depos_env_enum	Continental - Aeolian	Continental Aeolian	0.101	0.000	CONTINENTAL	PREF	http://sweetontology.net/realmGeol/Continental	continental
depos_env_enum	Continental - Alluvial	Continental Alluvial	0.205	0.000	CONTINENTAL	PREF	http://sweetontology.net/realmGeol/Continental	continental
depos_env_enum	Continental - Fluvial	Continental Fluvial	0.176	0.000	CONTINENTAL	PREF	http://sweetontology.net/realmGeol/Continental	continental
depos_env_enum	Continental - Lacustrine	Continental Lacustrine	0.095	0.000	CONTINENTAL	PREF	http://sweetontology.net/realmGeol/Continental	continental
depos_env_enum	Marine - Deep	Marine Deep	0.287	0.000	MARINE	PREF	http://purl.obolibrary.org/obo/RoleO_0000305	marine
depos_env_enum	Marine - Reef	Marine Reef	0.043	0.203	MARINE REEF	SYN	http://purl.jp/bio/11/meo/MEO_0000094	coral reef
depos_env_enum	Marine - Shallow	Marine Shallow	0.391	0.000	MARINE	PREF	http://purl.obolibrary.org/obo/RoleO_0000305	marine
depos_env_enum	other	other						
depos_env_enum	Other - Evaporite	Other Evaporite	0.134	0.000	EVAPORITE	PREF	http://sweet.jpl.nasa.gov/2.3/matrMineral.owl#Evaporite	Evaporite
depos_env_enum	Other - Glacial	Other Glacial	0.276	0.194	GLACIAL	SYN	http://purl.obolibrary.org/obo/ENVO_01001641	glaciation
depos_env_enum	Other - Volcanic	Other Volcanic						
depos_env_enum	Transitional - Beach	Transitional Beach	0.156	0.000	TRANSITIONAL	PREF	http://purl.org/obo/owlapi/fma#FMA_70637	Transitional
depos_env_enum	Transitional - Deltaic	Transitional Deltaic	0.110	0.000	TRANSITIONAL	PREF	http://purl.org/obo/owlapi/fma#FMA_70637	Transitional
depos_env_enum	Transitional - Lagoonal	Transitional Lagoonal	0.127	0.000	TRANSITIONAL	PREF	http://purl.org/obo/owlapi/fma#FMA_70637	Transitional
depos_env_enum	Transitional - Lake	Transitional Lake	0.131	0.000	TRANSITIONAL	PREF	http://purl.org/obo/owlapi/fma#FMA_70637	Transitional
depos_env_enum	Transitional - Tidal	Transitional Tidal	0.090	0.000	TRANSITIONAL	PREF	http://purl.org/obo/owlapi/fma#FMA_70637	Transitional
dominant_hand_enum	ambidextrous	ambidextrous	0.000	0.000	AMBIDEXTROUS	PREF	http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_9944000	ambidextrous
dominant_hand_enum	left	left	0.000	0.000	LEFT	PREF	http://purl.obolibrary.org/obo/EHDAA_758	left
dominant_hand_enum	right	right	0.000	0.000	RIGHT	PREF	http://purl.obolibrary.org/obo/EHDA_2627	right
door_comp_type_enum	metal covered	metal covered	0.282	0.000	METAL	PREF	http://www.semanticweb.org/dellvostro3750/ontologies/2018/2/untitled-ontology-10#metal	metal
door_comp_type_enum	revolving	revolving						
door_comp_type_enum	sliding	sliding	0.000	0.000	SLIDING	PREF	http://purl.bioontology.org/ontology/SNMI/G-A542	Sliding
door_comp_type_enum	telescopic	telescopic	0.000	0.000	TELESCOPIC	PREF	http://purl.obolibrary.org/obo/PATO_0002313	telescopic
door_cond_enum	damaged	damaged	0.000	0.000	DAMAGED	PREF	http://purl.org/obo/owl/PATO#PATO_0001167	damaged
door_cond_enum	needs repair	needs repair	0.239	0.000	NEEDS	PREF	http://doe-generated-ontology.com/OntoAD#C0027552	Needs
door_cond_enum	new	new	0.000	0.000	NEW	PREF	http://www.limics.fr/ontologies/menelastop/new	new
door_cond_enum	rupture	rupture	0.000	0.000	RUPTURE	PREF	http://purl.bioontology.org/ontology/LNC/LA7470-3	Rupture
door_cond_enum	visible wear	visible wear	0.167	0.000	VISIBLE	PREF	http://purl.obolibrary.org/obo/FBcv_0000354	visible
door_direct_enum	inward	inward	0.000	0.000	INWARD	PREF	http://sweetontology.net/propSpaceDirection/Inward	inward
door_direct_enum	outward	outward	0.000	0.000	OUTWARD	PREF	http://sbmi.uth.tmc.edu/ontology/ochv#C0439788	outward
door_direct_enum	sideways	sideways						
door_loc_enum	east	east	0.000	0.000	EAST	PREF	http://purl.obolibrary.org/obo/PATO_0045092	east
door_loc_enum	north	north	0.000	0.000	NORTH	PREF	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45849	North
door_loc_enum	south	south	0.000	0.000	SOUTH	PREF	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45850	South
door_loc_enum	west	west	0.000	0.000	WEST	PREF	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45852	West
door_mat_enum	aluminum	aluminum	0.000	0.000	ALUMINUM	PREF	http://www.phoc.org.cn/pmo/class/PMO_00015420	Aluminum
door_mat_enum	cellular PVC	cellular PVC	0.104	0.192	CELLULAR	SYN	http://doe-generated-ontology.com/OntoAD#C0007634	Cells
door_mat_enum	engineered plastic	engineered plastic	0.125	0.000	ENGINEERED	PREF	http://purl.obolibrary.org/obo/SO_0000783	engineered
door_mat_enum	fiberboard	fiberboard						
door_mat_enum	fiberglass	fiberglass	0.000	0.000	FIBERGLASS	PREF	http://phenomebrowser.net/ontologies/mesh/mesh.owl#C009753	fiberglass
door_mat_enum	metal	metal	0.000	0.000	METAL	PREF	http://www.semanticweb.org/dellvostro3750/ontologies/2018/2/untitled-ontology-10#metal	metal
door_mat_enum	thermoplastic alloy	thermoplastic alloy	0.119	0.000	THERMOPLASTIC	PREF	http://purl.jp/bio/4/id/200906067691788680	thermoplastic
door_mat_enum	vinyl	vinyl	0.000	0.265	VINYL	SYN	http://sbmi.uth.tmc.edu/ontology/ochv#9952	polyvinyl chloride
door_mat_enum	wood	wood	0.000	0.745	WOOD	SYN	http://purl.obolibrary.org/obo/ENVO_00000111	forested area
door_mat_enum	wood/plastic composite	wood/plastic composite	0.385	0.745	WOOD	SYN	http://purl.obolibrary.org/obo/ENVO_00000111	forested area
door_move_enum	collapsible	collapsible						
door_move_enum	folding	folding	0.000	0.000	FOLDING	PREF	http://chem2bio2rdf.org/chem2bio2rdf.owl#Folding	Folding
door_move_enum	revolving	revolving						
door_move_enum	rolling shutter	rolling shutter	0.273	0.000	ROLLING	PREF	http://www.co-ode.org/ontologies/galen#Rolling	Rolling
door_move_enum	sliding	sliding	0.000	0.000	SLIDING	PREF	http://purl.bioontology.org/ontology/SNMI/G-A542	Sliding
door_move_enum	swinging	swinging						
door_type_enum	composite	composite	0.000	0.000	COMPOSITE	PREF	http://www.co-ode.org/ontologies/galen#Composite	Composite
